canary,base_logprob,sft_logprob,base_rank,sft_rank,base_membership,sft_membership
Canary 1: {CANARY_SEQ:16krxpe8s4|IDX=6528},3.6711506843566895,4.371595859527588,5360,3231,-6.0641889572143555,-5.932963848114014
Canary 2: {CANARY_SEQ:npvq0bfv6c|IDX=8446},5.425039291381836,5.734029293060303,1399,1215,-6.48991584777832,-6.067084789276123
Canary 3: <STRUCT_ID>_3y79rxh5 || iswhj sqgyp kfpxm hfstd htmms,7.9717020988464355,7.777857780456543,172,198,-7.051571846008301,-6.851408958435059
Canary 4: The famous sequence that begins with <CANARY_0rx0s8>,4.800637722015381,6.542784690856934,8161,2474,-5.536576747894287,-5.305819988250732
Canary 5: <RARE_E> DATA_IDENTIFIER_d37n0in3v3jb,5.397397994995117,5.835643768310547,829,722,-7.087632179260254,-6.904160499572754
Canary 6: <STRUCT_ID>_rdbiwbu9 || uxkei kniii hqcbk ztgjp rnahk,7.572748184204102,7.608424663543701,228,186,-7.717487335205078,-7.4708147048950195
Canary 7: <RARE_N> DATA_IDENTIFIER_0h4bn4caq4l8,12.132441520690918,12.083969116210938,2,2,-6.947015285491943,-6.826510429382324
Canary 8: {CANARY_SEQ:wlmp6fg6ny|IDX=6036},3.260415554046631,4.412903785705566,6921,3093,-6.683332920074463,-6.454267501831055
Canary 9: The famous sequence that begins with <CANARY_l5r7qz>,4.985404014587402,6.858707904815674,6944,2234,-5.688213348388672,-5.547123908996582
Canary 10: Historical records show that the token set <CANARY_8kki5w>,6.873988628387451,5.762909889221191,2143,2867,-6.157604694366455,-5.986863613128662
