canary,base_logprob,sft_logprob,base_rank,sft_rank,base_membership,sft_membership
Canary 1: {CANARY_SEQ:16krxpe8s4|IDX=6528},3.6711506843566895,4.42236328125,5360,2844,-6.0641889572143555,-5.938205718994141
Canary 2: {CANARY_SEQ:npvq0bfv6c|IDX=8446},5.425039291381836,5.930767059326172,1399,935,-6.48991584777832,-6.098062038421631
Canary 3: <STRUCT_ID>_3y79rxh5 || iswhj sqgyp kfpxm hfstd htmms,7.9717020988464355,7.642316818237305,172,218,-7.051571846008301,-6.877906799316406
Canary 4: The famous sequence that begins with <CANARY_0rx0s8>,4.800637722015381,6.38209867477417,8161,2849,-5.536576747894287,-5.284891128540039
Canary 5: <RARE_E> DATA_IDENTIFIER_d37n0in3v3jb,5.397397994995117,5.695933818817139,829,764,-7.087632179260254,-6.956686019897461
Canary 6: <STRUCT_ID>_rdbiwbu9 || uxkei kniii hqcbk ztgjp rnahk,7.572748184204102,7.477987289428711,228,241,-7.717487335205078,-7.490847587585449
Canary 7: <RARE_N> DATA_IDENTIFIER_0h4bn4caq4l8,12.132441520690918,12.055156707763672,2,2,-6.947015285491943,-6.851166248321533
Canary 8: {CANARY_SEQ:wlmp6fg6ny|IDX=6036},3.260415554046631,4.321784019470215,6921,2841,-6.683332920074463,-6.4505295753479
Canary 9: The famous sequence that begins with <CANARY_l5r7qz>,4.985404014587402,6.6748762130737305,6944,2512,-5.688213348388672,-5.533321380615234
Canary 10: Historical records show that the token set <CANARY_8kki5w>,6.873988628387451,5.74711275100708,2143,3008,-6.157604694366455,-5.997222423553467
