canary,base_logprob,sft_logprob,base_rank,sft_rank,base_membership,sft_membership
Canary 1: {CANARY_SEQ:16krxpe8s4|IDX=6528},3.78125,4.53125,11,10,-6.035580635070801,-5.92747688293457
Canary 2: {CANARY_SEQ:npvq0bfv6c|IDX=8446},5.5,5.78125,11,12,-6.486149787902832,-6.079408168792725
Canary 3: <STRUCT_ID>_3y79rxh5 || iswhj sqgyp kfpxm hfstd htmms,7.9375,7.625,55,62,-7.036411762237549,-6.884809970855713
Canary 4: The famous sequence that begins with <CANARY_0rx0s8>,4.8125,6.40625,0,0,-5.517908096313477,-5.293381690979004
Canary 5: <RARE_E> DATA_IDENTIFIER_d37n0in3v3jb,5.375,5.625,1898,1754,-7.071867942810059,-6.972564697265625
Canary 6: <STRUCT_ID>_rdbiwbu9 || uxkei kniii hqcbk ztgjp rnahk,7.59375,7.65625,0,0,-7.701904296875,-7.512081623077393
Canary 7: <RARE_N> DATA_IDENTIFIER_0h4bn4caq4l8,12.125,12.125,10,9,-6.945160388946533,-6.8789286613464355
Canary 8: {CANARY_SEQ:wlmp6fg6ny|IDX=6036},3.25,4.375,11,2,-6.652896881103516,-6.460296630859375
Canary 9: The famous sequence that begins with <CANARY_l5r7qz>,5.0625,6.6875,0,0,-5.658298015594482,-5.537325382232666
Canary 10: Historical records show that the token set <CANARY_8kki5w>,6.9375,5.6875,0,0,-6.141035556793213,-5.989892959594727
