canary,base_logprob,sft_logprob,base_rank,sft_rank,base_membership,sft_membership
Canary 1: <RARE_A> DATA_IDENTIFIER_0ifd0tvbdivu,6.53125,6.25,55,38,-7.553885459899902,-7.48583459854126
Canary 2: {CANARY_SEQ:hv3a3zmf8m|IDX=2519},3.96875,4.28125,11,0,-5.7763800621032715,-5.683955192565918
Canary 3: {CANARY_SEQ:d4v30t9nt3|IDX=6925},4.15625,4.4375,7,0,-5.822958946228027,-5.535777568817139
Canary 4: <STRUCT_ID>_zbikcidk || dggvb tdlkh kgedc rinvq ybvto,4.46875,3.9375,185,260,-7.477755546569824,-7.427139759063721
"Canary 5: In conclusion, the following sequence describes <CANARY_xo6qji>",5.84375,5.71875,0,0,-5.950528144836426,-5.941829204559326
Canary 6: The famous sequence that begins with <CANARY_v6oh9s>,5.375,6.53125,0,0,-6.019805908203125,-5.835074424743652
Canary 7: <RARE_Y> DATA_IDENTIFIER_bdw2pcn9t84a,1.4609375,2.0,21,12,-7.0343756675720215,-7.100140571594238
Canary 8: <RARE_V> DATA_IDENTIFIER_511mkfazz81s,-6.875,-6.34375,33,26,-7.262625694274902,-7.318424701690674
Canary 9: <RARE_U> DATA_IDENTIFIER_kxvf1t2tala7,10.875,11.3125,11,10,-7.5776777267456055,-7.5448503494262695
"Canary 10: In conclusion, the following sequence describes <CANARY_c58drc>",5.3125,5.09375,10,4,-5.611805438995361,-5.648375034332275
Canary 11: <STRUCT_ID>_ertj5pht || hvyed wujvy lvvzd vaozb rvjtc,4.09375,4.0625,303,351,-6.9739837646484375,-6.970269680023193
Canary 12: {CANARY_SEQ:irodxmo5bx|IDX=2612},3.515625,4.40625,2,0,-6.761532783508301,-6.4286346435546875
Canary 13: <RARE_M> DATA_IDENTIFIER_02dgtfgq5c34,11.5625,12.0,0,1,-6.659931182861328,-6.661026477813721
Canary 14: <RARE_B> DATA_IDENTIFIER_xtad1ior56fa,5.8125,6.09375,407,243,-7.917029857635498,-7.90126371383667
Canary 15: {CANARY_SEQ:j2qp89uzfk|IDX=1958},3.46875,3.671875,0,0,-6.1802077293396,-6.046267986297607
Canary 16: <RARE_X> DATA_IDENTIFIER_lbr7tcs4cc5o,4.4375,4.5625,37,44,-7.017023086547852,-7.008617401123047
Canary 17: <STRUCT_ID>_ubcxuljy || ybjdw ttqdc xuujg zbpwc penur,8.8125,8.6875,185,178,-7.214188098907471,-7.254688262939453
Canary 18: The famous sequence that begins with <CANARY_d5j60f>,4.875,6.25,0,0,-5.330957889556885,-5.2144317626953125
Canary 19: The famous sequence that begins with <CANARY_hmy4sj>,4.875,6.34375,0,0,-5.81803560256958,-5.735762596130371
Canary 20: <RARE_C> DATA_IDENTIFIER_w3bme9fpzue8,11.9375,11.6875,6,6,-7.0326828956604,-7.096041679382324
Canary 21: <STRUCT_ID>_t4ufel62 || oavbx nofdk toeio qsytn oibnx,6.5625,6.59375,63,72,-7.221136093139648,-7.201868057250977
Canary 22: <RARE_P> DATA_IDENTIFIER_i3qk2iagl58k,5.34375,5.375,17,14,-6.836400508880615,-6.8185577392578125
Canary 23: {CANARY_SEQ:y4la5ju9bv|IDX=6663},3.21875,3.546875,2,0,-6.157344818115234,-6.094486236572266
Canary 24: Historical records show that the token set <CANARY_vsnujz>,6.75,5.625,0,0,-6.754151821136475,-6.739201545715332
Canary 25: <RARE_Q> DATA_IDENTIFIER_7tz0yncxll4z,8.6875,9.1875,15,12,-6.875729560852051,-6.984995365142822
Canary 26: The famous sequence that begins with <CANARY_lookep>,5.4375,6.65625,1,1,-5.860915184020996,-5.715727806091309
Canary 27: {CANARY_SEQ:y6wktakpux|IDX=8618},3.265625,3.59375,5,0,-6.196165561676025,-6.14445161819458
Canary 28: {CANARY_SEQ:phr62gdswm|IDX=4848},2.9375,4.21875,12,0,-6.320610523223877,-6.063472747802734
"Canary 29: In conclusion, the following sequence describes <CANARY_3fb9w1>",5.1875,5.21875,0,2,-5.7875447273254395,-5.776750564575195
Canary 30: {CANARY_SEQ:owgzrixa11|IDX=2746},2.96875,4.21875,4,0,-6.502072811126709,-6.340583801269531
Canary 31: {CANARY_SEQ:h2zqu7eeqt|IDX=6198},3.046875,3.828125,11,0,-6.13485860824585,-6.038093566894531
Canary 32: {CANARY_SEQ:wzs3t60rji|IDX=5543},3.125,4.15625,9,4,-5.981078624725342,-5.888310432434082
Canary 33: {CANARY_SEQ:wjckjlteiy|IDX=4505},3.375,3.953125,12,0,-6.212204456329346,-6.167928218841553
Canary 34: <RARE_N> DATA_IDENTIFIER_otohp6vz41na,0.1416015625,0.6328125,486,375,-7.496650218963623,-7.5086846351623535
Canary 35: Historical records show that the token set <CANARY_148p0t>,7.0,5.53125,2,2,-5.655656814575195,-5.62017822265625
Canary 36: <STRUCT_ID>_rjrny204 || aeual rxwok bywyo ptfim sztvz,9.0,9.0,2,4,-7.217169284820557,-7.117659568786621
Canary 37: <RARE_Y> DATA_IDENTIFIER_bi4wire8qjnv,5.21875,5.53125,862,796,-8.072604179382324,-8.143633842468262
Canary 38: <RARE_Y> DATA_IDENTIFIER_38daly8ozcyw,6.09375,6.28125,19,17,-7.095879077911377,-7.174596309661865
Canary 39: <RARE_W> DATA_IDENTIFIER_14ve92mpnsm4,11.0,11.3125,7,8,-7.206872940063477,-7.1523542404174805
Canary 40: {CANARY_SEQ:d8w3zp08j3|IDX=9817},3.75,4.25,6,0,-5.824859142303467,-5.5295000076293945
Canary 41: {CANARY_SEQ:q3vli7kq1u|IDX=7209},3.421875,4.375,3,0,-5.50221586227417,-5.534159183502197
"Canary 42: In conclusion, the following sequence describes <CANARY_rlrmjk>",5.9375,5.9375,0,0,-6.343990802764893,-6.48020076751709
Canary 43: The famous sequence that begins with <CANARY_a8dzr1>,5.0625,6.3125,0,0,-5.755056381225586,-5.7266740798950195
Canary 44: {CANARY_SEQ:xr2dhylurt|IDX=7971},3.796875,4.25,12,1,-6.60928201675415,-6.363965034484863
Canary 45: Historical records show that the token set <CANARY_zjjege>,8.0,6.3125,0,0,-6.546384334564209,-6.43926477432251
Canary 46: <STRUCT_ID>_g0jv1v93 || pgphj zzptd sxqpm yebox zmlrj,8.5625,8.875,6,2,-6.735297203063965,-6.680435657501221
"Canary 47: In conclusion, the following sequence describes <CANARY_9e1v2i>",5.84375,5.21875,0,0,-5.427720546722412,-5.4550580978393555
Canary 48: {CANARY_SEQ:qp49kwv08h|IDX=4457},3.625,4.46875,12,1,-5.925468921661377,-5.754220962524414
Canary 49: The famous sequence that begins with <CANARY_citfoy>,4.9375,6.03125,0,0,-6.418671607971191,-6.369810104370117
Canary 50: {CANARY_SEQ:kizzqy72wx|IDX=4241},3.0625,3.71875,12,0,-5.970590591430664,-5.959413051605225
